O*NET-SOC Code,Tool Name
11-2011.01,Microsoft Outlook
11-2011.01,Microsoft PowerPoint
11-2011.01,Microsoft Project
11-2011.01,Microsoft Publisher
11-2011.01,Microsoft SharePoint
11-2011.01,Microsoft SQL Server
11-2011.01,Microsoft Word
11-2011.01,Oracle Eloqua
11-2011.01,Pinterest
11-2011.01,Salesforce software
11-2011.01,SAP
11-2011.01,Scheduling software
11-2011.01,Social media software
11-2011.01,Software development tools
11-2011.01,Structure query language SQL
11-2011.01,Twitter
11-2011.01,Vimeo
11-2011.01,Web browser software
11-2011.01,WebTrends Analytics
11-2011.01,Webtrends software
11-2011.01,WordPress
11-2011.01,YouTube
11-2021.00,Desktop computers
11-2021.00,Laser facsimile machines
11-2021.00,Notebook computers
11-2021.00,Personal computers
11-2021.00,Personal digital assistants PDA
11-2021.00,Photocopiers
11-2021.00,Scanners
11-2021.00,Tablet computers
11-2021.00,Adobe Systems Adobe Acrobat
11-2021.00,Adobe Systems Adobe ActionScript
11-2021.00,Adobe Systems Adobe AfterEffects
11-2021.00,Adobe Systems Adobe Creative Cloud
11-2021.00,Adobe Systems Adobe Dreamweaver
11-2021.00,Adobe Systems Adobe Fireworks
11-2021.00,Adobe Systems Adobe Flash
11-2021.00,Adobe Systems Adobe Illustrator
11-2021.00,Adobe Systems Adobe InDesign
11-2021.00,Adobe Systems Adobe Photoshop
11-2021.00,Adobe Systems Adobe Reader
11-2021.00,AdSense Tracker
11-2021.00,AEC Software FastTrack
11-2021.00,Apache Cassandra
11-2021.00,Apache Hadoop
11-2021.00,Apache Hive
11-2021.00,Apache Pig
11-2021.00,Apache Solr
11-2021.00,Apple Final Cut Pro
11-2021.00,Apple macOS
11-2021.00,Armand Morin MultiTrack Generator
11-2021.00,Atlassian JIRA
11-2021.00,AWS Redshift
11-2021.00,Blackbaud The Raiser's Edge
11-2021.00,Cascading Style Sheets CSS
11-2021.00,Citrix
11-2021.00,ClearEDGE
11-2021.00,Confluence
11-2021.00,Constant Contact
11-2021.00,Data entry software
11-2021.00,Database reporting software
11-2021.00,Databox
11-2021.00,Delphi Technology
11-2021.00,Drupal
11-2021.00,Dynamic hypertext markup language DHTML
11-2021.00,Elasticsearch
11-2021.00,Extensible HyperText Markup Language XHTML
11-2021.00,Extensible markup language XML
11-2021.00,Facebook
11-2021.00,FileMaker Pro
11-2021.00,Fund accounting software
11-2021.00,Google AdWords
11-2021.00,Google Analytics
11-2021.00,Google Docs
11-2021.00,Hypertext markup language HTML
11-2021.00,IBM Cognos Impromptu
11-2021.00,IBM Domino
11-2021.00,IBM InfoSphere DataStage
11-2021.00,IBM Notes
11-2021.00,IBM Power Systems software
11-2021.00,IBM SPSS Statistics
11-2021.00,Intuit QuickBooks
11-2021.00,JavaScript
11-2021.00,LAMP Stack
11-2021.00,LexisNexis
11-2021.00,LinkedIn
11-2021.00,Lyris HQ Web-Analytics Solution
11-2021.00,Marketo Marketing Automation
11-2021.00,MarketSharp
11-2021.00,McAfee
11-2021.00,Microsoft Access
11-2021.00,Microsoft Dynamics
11-2021.00,Microsoft Excel
11-2021.00,Microsoft Office
11-2021.00,Microsoft Outlook
11-2021.00,Microsoft PowerPoint
11-2021.00,Microsoft Project
11-2021.00,Microsoft Publisher
11-2021.00,Microsoft SharePoint
11-2021.00,Microsoft SQL Server
11-2021.00,Microsoft Visio
11-2021.00,Microsoft Visual Basic
11-2021.00,Microsoft Visual Basic Scripting Edition VBScript
11-2021.00,Microsoft Word
11-2021.00,MicroStrategy
11-2021.00,Minitab
11-2021.00,MySQL
11-2021.00,Nedstat Sitestat
11-2021.00,NetSuite ERP
11-2021.00,NoSQL
11-2021.00,Online advertising reporting software
11-2021.00,Oracle Beehive
11-2021.00,Oracle Business Intelligence Enterprise Edition
11-2021.00,Oracle E-Business Suite Financials
11-2021.00,Oracle Eloqua
11-2021.00,Oracle Fusion Applications
11-2021.00,Oracle JavaServer Pages JSP
11-2021.00,Oracle PeopleSoft
11-2021.00,Oracle PeopleSoft Financials
11-2021.00,Oracle PL/SQL
11-2021.00,Oracle Siebel Server Sync
11-2021.00,PHP: Hypertext Preprocessor
11-2021.00,QAD Marketing Automation
11-2021.00,Qlik Tech QlikView
11-2021.00,R
11-2021.00,Ruby
11-2021.00,Ruby on Rails
11-2021.00,Sage SalesLogix
11-2021.00,Salesforce software
11-2021.00,Salesforce.com Salesforce CRM
11-2021.00,SAP
11-2021.00,SAP Business Objects
11-2021.00,SAS
11-2021.00,Splunk Enterprise
11-2021.00,StataCorp Stata
11-2021.00,Structured query language SQL
11-2021.00,Swift
11-2021.00,Symantec
11-2021.00,Tableau
11-2021.00,Tax software
11-2021.00,Teradata Database
11-2021.00,The MathWorks MATLAB
11-2021.00,Web browser software
11-2021.00,Yardi
11-2021.00,YouTube
11-2022.00,Desktop computers
11-2022.00,Notebook computers
11-2022.00,Personal computers
11-2022.00,Scanners
11-2022.00,Tablet computers
11-2022.00,Adobe Systems Adobe Acrobat
11-2022.00,Adobe Systems Adobe ActionScript
11-2022.00,Adobe Systems Adobe Creative Cloud
11-2022.00,Adobe Systems Adobe Flash
11-2022.00,Avidian Technologies Prophet
11-2022.00,Bentley MicroStation
11-2022.00,Blackbaud The Raiser's Edge
11-2022.00,Contact management software
11-2022.00,Data entry software
11-2022.00,Delphi Discovery
11-2022.00,Delphi Technology
11-2022.00,Eclipse IDE
11-2022.00,Eden Sales Manager
11-2022.00,Facebook
11-2022.00,FileMaker Pro
11-2022.00,Google AdWords
11-2022.00,Google Analytics
11-2022.00,Google Docs
11-2022.00,HEAT Software GoldMine
11-2022.00,Human resource management software HRMS
11-2022.00,Hypertext markup language HTML
11-2022.00,IBM Cognos Impromptu
11-2022.00,IBM Notes
11-2022.00,IBM Power Systems software
11-2022.00,IBM SPSS Statistics
11-2022.00,Inventory software
11-2022.00,LexisNexis
11-2022.00,LinkedIn
11-2022.00,Marketo Marketing Automation
11-2022.00,Maximizer Software Maximizer Enterprise
11-2022.00,McAfee
11-2022.00,Microsoft Access
11-2022.00,Microsoft Azure
11-2022.00,Microsoft Dynamics
11-2022.00,Microsoft Dynamics GP
11-2022.00,Microsoft Excel
11-2022.00,Microsoft Exchange Server
11-2022.00,Microsoft Office
11-2022.00,Microsoft Outlook
11-2022.00,Microsoft PowerPoint
11-2022.00,Microsoft Project
11-2022.00,Microsoft Publisher
11-2022.00,Microsoft SharePoint
11-2022.00,Microsoft SQL Server
11-2022.00,Microsoft Visio
11-2022.00,Microsoft Windows
11-2022.00,Microsoft Word
11-2022.00,MicroStrategy
11-2022.00,Minitab
11-2022.00,NetSuite ERP
11-2022.00,NetSuite NetCRM
11-2022.00,Oracle Business Intelligence Enterprise Edition
11-2022.00,Oracle E-Business Suite Financials
11-2022.00,Oracle Eloqua
11-2022.00,Oracle Fusion Applications
11-2022.00,Oracle Hyperion
11-2022.00,Oracle JD Edwards EnterpriseOne
11-2022.00,Oracle PeopleSoft
11-2022.00,Oracle PeopleSoft Financials
11-2022.00,Oracle Primavera Enterprise Project Portfolio Management
11-2022.00,Oracle Taleo
11-2022.00,Qlik Tech QlikView
11-2022.00,R
11-2022.00,Sage 50 Accounting
